taste,budget,meal_type,company,diet,dish,restaurant,price
spicy,low,snack,alone,junk,pani_puri,street_shop,40
sweet,medium,heavy,group,healthy,veg_thali,hotel_arya,150
spicy,high,heavy,group,junk,biryani,zam_zam,250
sweet,low,snack,alone,healthy,fruit_bowl,juice_corner,60
spicy,medium,heavy,alone,junk,shawarma,arabian_hut,120
sweet,high,snack,group,healthy,ice_cream,cream_stone,180
spicy,medium,snack,group,junk,chicken_roll,street_bites,90
sweet,low,snack,alone,healthy,smoothie,green_cafe,110
spicy,high,heavy,group,junk,alfaham,arabian_grill,220
sweet,medium,heavy,group,healthy,paneer_meals,veg_plaza,160
spicy,low,snack,alone,junk,samosa,tea_stall,30
sweet,high,snack,group,junk,chocolate_cake,bake_house,200
spicy,medium,heavy,alone,junk,burger,fast_food_corner,130
sweet,low,snack,alone,healthy,fruit_salad,fresh_bar,70
spicy,high,heavy,group,junk,beef_biriyani,malabar_hotel,240
sweet,medium,snack,group,healthy,lassi,punjabi_dhaba,80
spicy,medium,heavy,alone,healthy,veg_fried_rice,china_town,140
sweet,high,heavy,group,junk,donut_box,donut_world,190
spicy,low,snack,alone,junk,cutlet,evening_stall,50
sweet,medium,snack,alone,healthy,yogurt_parfait,health_hub,120
spicy,high,heavy,group,junk,tandoori_chicken,spice_grill,260
sweet,low,snack,group,healthy,corn_cup,snack_point,60
spicy,medium,heavy,alone,junk,noodles,quick_wok,150
sweet,high,snack,group,junk,brownie,choco_land,170
spicy,medium,snack,alone,healthy,sprouts_salad,fit_kitchen,90
sweet,medium,heavy,group,healthy,veg_pulao,home_style,140
spicy,low,snack,alone,healthy,sandwich,china_town,50
